DATE,DEXCAUS
1993-01-01,1.2607754098360656
1993-04-01,1.2702750000000000
1993-07-01,1.3038843750000000
1993-10-01,1.3251111111111111
1994-01-01,1.3424709677419355
1994-04-01,1.3824984375000000
1994-07-01,1.3716734375000000
1994-10-01,1.3684098360655738
1995-01-01,1.4072709677419355
1995-04-01,1.3713812500000000
1995-07-01,1.3557476190476190
1995-10-01,1.3559516129032258
1996-01-01,1.3691322580645161
1996-04-01,1.3647125000000000
1996-07-01,1.3704859375000000
1996-10-01,1.3507548387096774
1997-01-01,1.3592836065573770
1997-04-01,1.3864000000000000
1997-07-01,1.3849578125000000
1997-10-01,1.4086887096774194
1998-01-01,1.4298098360655738
1998-04-01,1.4468843750000000
1998-07-01,1.5135846153846154
1998-10-01,1.5430354838709677
1999-01-01,1.5119770491803279
1999-04-01,1.4732671875000000
1999-07-01,1.4865375000000000
1999-10-01,1.4724063492063492
2000-01-01,1.4538730158730159
2000-04-01,1.4809171875000000
2000-07-01,1.4823650793650794
2000-10-01,1.5257241935483871
2001-01-01,1.5285354838709677
2001-04-01,1.5411171875000000
2001-07-01,1.5449387096774194
2001-10-01,1.5805951612903226
2002-01-01,1.5945606557377049
2002-04-01,1.5552015625000000
2002-07-01,1.5633125000000000
2002-10-01,1.5696354838709677
2003-01-01,1.5098180327868852
2003-04-01,1.3991609375000000
2003-07-01,1.3806015625000000
2003-10-01,1.3161532258064516
2004-01-01,1.3183935483870968
2004-04-01,1.3589546875000000
2004-07-01,1.3078359375000000
2004-10-01,1.2207682539682540
2005-01-01,1.2262306451612903
2005-04-01,1.2438078125000000
2005-07-01,1.2013578125000000
2005-10-01,1.1732836065573770
2006-01-01,1.1546838709677419
2006-04-01,1.1219359375000000
2006-07-01,1.1211142857142857
2006-10-01,1.1389919354838710
2007-01-01,1.1717709677419355
2007-04-01,1.0983406250000000
2007-07-01,1.0456156250000000
2007-10-01,0.98106093750000000000
2008-01-01,1.00389838709677419355
2008-04-01,1.00994218750000000000
2008-07-01,1.0410953125000000
2008-10-01,1.2114887096774194
2009-01-01,1.2454852459016393
2009-04-01,1.1682421875000000
2009-07-01,1.0980338461538462
2009-10-01,1.0557435483870968
2010-01-01,1.0401000000000000
2010-04-01,1.0273109375000000
2010-07-01,1.0385562500000000
2010-10-01,1.01287377049180327869
2011-01-01,0.98556290322580645161
2011-04-01,0.96768906250000000000
2011-07-01,0.98028281250000000000
2011-10-01,1.0227065573770492
2012-01-01,1.00092903225806451613
2012-04-01,1.01017812500000000000
2012-07-01,0.99540793650793650794
2012-10-01,0.99118064516129032258
2013-01-01,1.00872131147540983607
2013-04-01,1.0229546875000000
2013-07-01,1.0385187500000000
2013-10-01,1.0494306451612903
2014-01-01,1.1033098360655738
2014-04-01,1.0906796875000000
2014-07-01,1.0889625000000000
2014-10-01,1.1355327868852459
2015-01-01,1.2418409836065574
2015-04-01,1.2296359375000000
2015-07-01,1.3088484375000000
2015-10-01,1.3362661290322581
2016-01-01,1.3711274193548387
2016-04-01,1.2885953125000000
2016-07-01,1.3050937500000000
2016-10-01,1.3341393442622951
2017-01-01,1.3236934426229508
2017-04-01,1.3446156250000000
2017-07-01,1.2529523809523810
2017-10-01,1.2714524590163934
2018-01-01,1.2656483870967742
2018-04-01,1.2906828125000000
2018-07-01,1.3070238095238095
2018-10-01,1.3200716666666667
2019-01-01,1.3297406779661017
2019-04-01,1.3378250000000000
2019-07-01,1.3205218750000000
2019-10-01,1.3196870967741935
2020-01-01,1.3458661290322581
2020-04-01,1.3853656250000000
2020-07-01,1.3321328125000000
2020-10-01,1.3031200000000000
2021-01-01,1.2656033333333333
2021-04-01,1.2284734375000000
2021-07-01,1.2600140625000000
2021-10-01,1.2603590163934426
2022-01-01,1.2663612903225806
2022-04-01,1.2763857142857143
2022-07-01,1.3061500000000000
2022-10-01,1.3577426229508197
